Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0112,0.0322,0.0486,0.065,0.0814,0.114097346552109,0.325798377067964,0.39008127343332,0.971900415195857,2.42038779776014,6.04389086404814,9.609999657,15.03610039,23.86,41.2,45,47,49.40000153,51.79999924,54.29999924,56.90000153,59.59999847,62.40000153,65.40000153,68.5503911218006,72.23767711,79.32371752,82.61367544,83.13559161,85.86389923,,
AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1.53,3.05,6.89,7.64,10.53883560922,,11.2604687170103,13.546412876439,26.8379543894637,37.6057662174867,48.9368469989479,70.87,70.04,78.53,81,81,82.69999695,84.40000153,86.09999847,87.90000153,89.69999695,91.5674670273926,93.5,90.71869659,93.20570374,93.89749908,94.05169678,94.21499634,94.39759827,,
AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.00912,0.0527,0.0946,0.112,0.129,0.971,1.30047002237784,1.63109466677715,1.9604050458212,4.57521722477781,4.8990085713054,5.252999783,5.631800175,6.021299839,6.21,15.30000019,25,32,37.5,41.9,54.6228058583362,59.1008337674937,64.3460297653742,64.7448843250726,68.2450522610271,66.5439496866159,76.50770055,78.61225758,77.02767465,79.99663036,81.33930206,,
AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.259,0.643,0.765,1.39,1.89,6.91,9.53,15.4,23,33.7301329516915,39.1854501811114,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399930986888,80.0299939169903,80.6188,80.9958249574764,83.9401419315026,84.3237425711653,87.9355865856062,87.4791372262556,87.7522047870069,87.52942813,92.52915104,93.61409139,95.33467117,94.91974877,91.92573373,
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.00143,0.00206,0.00635,0.0252,0.0375,0.0992,0.147757575623251,0.305564637615618,4.99971367812957,,,8.030400276,11.9921999,14.53999996,17.08,27.4,46,50,54.20000076,73.000001372,75.0000156363396,77,78.2,79,79.7999954887896,81.0999990651547,84.59999573,85.99998954,88,89,90.43979645,90.80000181,
BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00101,0.0201,0.1,0.199,0.696,0.992,2.97,4.94,7.89,13.8,29.4316916924341,31.2883955056566,46.33,49.97,53.86,55.81999969,61.9818700222023,66.7604202433135,68.8573221425131,74.5441455527336,77.6397855126946,81.6099959955952,80.7199905482042,82.1702,85.0012379539925,85.0529417508701,86.5164766644457,87.6796808175598,88.6473429951691,90.275428012141,91.52641629,92.78867618,94.00783071,94.62625074,95.77579144,,
BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.00234,0.0195,0.12,0.725,1.22,1.84,2.91,5.37092346908696,7.6122977487982,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.9799930506026,51.8999876658503,53.0615,55.4903766299262,56.6562516053086,59.825547661014,63.4101013837926,64.78201069118,67.9469809417603,70.16248359,75.27144583,79.12686326,80.38956462,82.438955,,
BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0151,0.0594,0.144,0.194,1.08296074971207,1.20052695129649,2.64826791361244,3.96503683387051,15.4689716227665,21.3267010007738,25.1223856852117,27.92,34.66,37.74,42.75,43.88769913,45.0644989,48.52130127,49.91770172,52.59999847,60.2565354318987,64.8920205128383,70.1201350394885,69.9463476317266,73.21175294,75.67620138,78.8455371,83.3771539,86.10091103,,
BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.000486,0.00292,0.0293,0.049,0.0739,0.495,1.86039812615388,4.30061602151712,8.95097131467325,,,,16.2,19.7,23,27.43,31.8,39.6488956598961,46.91,54.17,59.0163187101542,62.230360906803,71.1130457603832,74.4364454136036,79.1298866919307,82.7891520910901,85.08791245,86.88841196,89.50733148,91.51249979,94.26182128,,
CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596,1.18,1.75,2.17,2.72,3.55,4.55,15.1,24.8,34,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.1930281804854,85.2,86.34,83.6172512621702,87.4790555978675,89.1346877351392,89.6861476710225,91.80000305,93.1460869535177,94.34999847,95.56937154,96.45279694,97.34436623,97.3443985,97.32103855,
CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0501,0.0564,0.111,0.41,0.673,4.38,8.89,11.3,15.2553943710137,18.8187590408455,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.8598923503507,60.6898684001903,65.4548,69.3286967086473,71.7157409175171,75.9002054030125,80.743188971932,84.4335825186889,86.0636299618935,90.80194644,90.75951564,89.60099194,91.22110357,89.60099246,,
CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.581,1.26,1.45,1.94,2.92,3.9,6.83,9.78052788834393,14.6971721171129,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.4300078241036,74.1104,74.2317116367383,75.668838699279,76.4811986951838,78.7191728513432,80.6881675434288,80.8669444139622,81.33889705,82.67062427,84.54009378,85.99404818,87.68776014,,
DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,0.25,0.435,0.464,0.923,1.84,3.05,6.71,9.88,20.8,30.2163466048889,31.650939416316,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999953602,82.3499984738392,84.17,86.1937006578756,87.5897993525767,84.1652066441212,84.3941537010844,87.037112092841,88.1345169091916,89.81294133,91.43060973,91.62984383,92.4763763,93.49999579,,
