Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.19178,1.18356,1.17534,1.16712,1.1589,1.29468,1.43046,1.56624,1.70202,1.8378,1.75046,1.66312,1.57578,1.48844,1.4011,1.27242,1.24774,1.22306,1.19838,1.1737,1.14902,1.12434,1.09966,1.07498,0.92,1.092,1.091,0.958,1.131,0.786,0.796,0.797,,,
AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.198,2.983,2.531,2.277,1.85,1.994,1.966,1.871,1.726,1.733,1.976,2.503,2.771,2.827,3.012,2.873,2.464,2.127,2.438,2.941,2.955,2.86,3.271,3.181,2.87,2.714,2.865,2.83,2.967,3.072,,,
AT,,,,,,,,,,,,,,,,,,,,,3.34,3.3874,3.4348,3.4822,3.5296,3.577,3.6226,3.6682,3.7138,3.7594,3.805,3.7334,3.6618,3.5902,3.5186,3.447,3.5445,3.642,3.654,3.666,3.636,3.607,3.577,3.566125,3.55525,3.544375,3.5335,3.522625,3.51175,3.500875,3.49,3.451111111,3.412222222,3.373333333,3.334444444,3.295555556,3.256666667,3.217777778,3.178888889,3.14,3.14,3.14,3.14,,,
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.202,16.338,14.633,13.97,13.457,12.518,10.235,11.968,10.99,9.923,9.919,10.518,11.175,11.8,12.144,12.085,11.53,11.14,10.97,11.296,11.975,11.994,11.592,11.689,11.878,12.12,12.167,12.59,12.20308,12.96786,13.027,,,
BE,,,,,,,,,,,,,,,,,,,,,9.0305,8.97854,8.92658,8.87462,8.82266,8.7707,8.71874,8.66678,8.61482,8.56286,8.5109,8.45894,8.40698,8.35502,8.30306,8.2511,7.97055,7.69,7.638533333,7.587066667,7.5331,7.1344,6.7357,6.619166667,6.502633333,6.3861,6.30035,6.2146,6.129,6.002,5.953,5.082,5.3,4.829,4.556,3.994,4.193040325,4.39208065,4.175,4.199,4.246624663,4.300015419,4.300015419,,,
BG,,,,,,,,,,,,,,,,,,,,,14.18,14.162,14.144,14.126,14.108,14.09,13.55951333,13.02902667,12.49854,11.96805333,7.623666667,7.4746,7.325533333,7.176466667,7.0274,6.878333333,6.729266667,6.5802,6.431133333,6.282066667,6.1327,5.8334,6.5887,6.51132,6.43394,6.35656,6.27918,6.2018,6.425,6.1203,5.96,6.385,5.7146,5.468,5.376,5.6294,5.689,5.658,5.425,5.422,4.969,5.212,5.443433862,,,
BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3718,0.3736,0.3755,0.3774,0.379,0.3787,0.3804,0.3896,0.3919,0.4299,0.4354,0.4236,0.4377,0.4358,0.4124,0.4185,0.4196,0.4009,0.312,0.3055,0.30128,0.306,0.312035,,,
BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.9514,1.9228,1.8942,1.8656,1.837,1.8108,1.7846,1.7584,1.7322,1.706,1.6744,1.6428,1.6112,1.5796,1.548,1.536666667,1.525333333,1.514,1.571,1.448,1.451,1.4,1.39,1.358,1.328,1.425,1.414,,,
CH,,,,,,,,,,,,,,,,2.598,2.5962,2.5944,2.5926,2.5908,2.589,2.6004,2.6118,2.6232,2.6346,2.646,2.653,2.66,2.667,2.674,2.681,2.688,2.695,2.66762,2.64024,2.61286,2.58548,2.5581,2.55008,2.54206,2.53404,2.52602,2.518,2.46665,2.4153,2.36395,2.3126,2.26125,2.2099,2.15855,2.1072,2.05585,2,1.72,1.704,1.705917,1.704,1.704,1.704,1.704,1.704,1.704,1.704,,,
CY,,,,,,,,,,,,,,,,0.155,0.1594,0.1638,0.1682,0.1726,0.177,0.1816,0.1862,0.1908,0.1954,0.2,0.2046,0.2104,0.2156,0.2208,0.223,0.218,0.213,0.208,0.201285714,0.194571429,0.187857143,0.181142857,0.174428571,0.167714286,0.161,0.149942857,0.1707,0.16938,0.16806,0.16674,0.16542,0.1641,0.1605,0.1843,0.2009,0.2208,0.2553,0.2068,0.217,0.232,0.218,0.216,0.207,0.202,0.231,0.235,0.223,,,
CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0324,2.8878,2.7432,2.61785,2.4925,2.37562,2.25874,2.14186,2.02498,1.9081,1.9204,1.9327,1.945,1.9573,1.9696,1.988,1.947,1.951,1.887,1.8404,1.6503,1.65,1.6034,1.6348,1.63,1.59,1.506,1.366,1.349,1.445,,,
DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.272,49.9484873,49.53953898,49.19992302,48.83088615,47.76515568,47.38274284,45.80673577,45.37060385,44.88727848,44.725845,44.457679,42.945884,41.546916,40.337545,39.732274,32.255,38.869246,39.68796,32.991,36.422802,33.647141,25.326,31.308092,29.833405,24.443,27.748404,26.921134,25.792569,25.792569,25.792569,25.792569,,,
DK,,,,,,,,,,,0.72,0.817,0.914,1.011,1.108,1.205,1.205,1.205,1.205,1.205,1.205,1.305,1.405,1.505,1.605,1.705,1.521666667,1.338333333,1.155,1.226551637,1.298103273,1.243731377,1.189359481,1.134987585,1.080615689,1.026243792,0.971871896,0.9175,0.86468,0.81186,0.75904,0.70622,0.6534,0.645333333,0.637266667,0.6292,0.5923,0.5554,0.696,0.6597,0.8089,0.8657,0.7285,1.009,0.9892,0.8118,0.886995,0.895798,1.105817,0.945594,0.947277,0.959165,0.93435,,,
ES,,,,,,,,,,,,,,,,36.08,36.848,37.616,38.384,39.152,39.92,40.986,42.052,43.118,44.184,45.25,45.852,44.0416,42.2312,40.4208,38.6104,36.8,36.41666667,36.03333333,35.65,35.26666667,34.88333333,34.5,35.035,35.57,36.105,35.806,35.507,36.15033333,36.79366667,37.437,36.2065,34.976,34.774,36.12,35.011,35.07,36.366,32.35,32.859,31.514,31.221,30.094,29.409,29.2145,29.02,29.02,29.02,,,
EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,2.206,1.782,1.358,1.365914286,1.373828571,1.381742857,1.389657143,1.397571429,1.405485714,1.4134,1.4975,1.5816,1.6657,1.7498,1.8339,1.604,1.378,1.842,1.874,1.631,1.748,1.72,1.61534264,1.7514,1.7849,1.60854,1.00645,0.8529523,0.999749643,1.205476752,,,
FI,,,,,,,,,,,3.3,3.35,3.4,3.45,3.5,3.55,3.58,3.61,3.64,3.67,3.7,3.76,3.82,3.88,3.94,4,3.6654,3.3308,2.9962,2.6616,2.327,2.3788,2.4306,2.4824,2.5342,2.586,2.521425,2.45685,2.392275,2.3277,2.935557143,3.543414286,4.151271429,4.753953571,5.356635714,5.959317857,6.562,6.1358,5.7096,5.2834,4.8572,4.431,4.0048,3.5786,3.1524,2.7262,2.3,2.3,2.8,3,3,3,3,,,
FR,,,,,,,,,,,,,,,,,,,,,30.964,31.7478,32.5316,33.3154,34.0992,34.883,35.4426,36.0022,36.5618,37.1214,37.681,38.45,39.219,37.4414,35.6638,33.8862,32.1086,30.331,31.12033333,31.90966667,32.699,32.5265,32.354,32.71866667,33.08333333,33.448,32.22,30.992,28.66,28.4703,28.578,30.146,28.063,27.157,27.297,28.116,26.436,26.946,26.92292431,26.21208613,24.67155198,24.4276596,24.4276596,,,
FO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,,,,,,,,,,,,,,,,,,,,,13.48,13.084,12.688,12.292,11.896,11.5,11.604,11.708,11.812,11.916,12.02,12.034,12.048,12.062,12.076,12.09,12.16879091,12.24758182,12.32637273,12.40516364,12.48395455,12.56274545,12.64153636,12.72032727,12.79911818,12.87790909,12.9567,8.513,8.347,8.281,8.264,7.685,8.017,7.651,7.285,8.16,8.419,8.419,8.419,8.419,8.419,8.419,8.419,,,
GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.157506667,3.00226,2.847013333,2.691766667,2.53652,2.381273333,2.226026667,2.07078,1.915533333,1.895026667,1.87452,1.854013333,1.833506667,1.813,1.816333333,1.819666667,1.823,1.79364375,1.7642875,1.73493125,1.705575,1.67621875,1.6468625,1.61750625,1.58815,1.37453,1.29112,1.57214,1.65372,1.60898,1.29338,,,
GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR,,,,,,,,,,,4.254,4.25836,4.26272,4.26708,4.27144,4.2758,4.42664,4.57748,4.72832,4.87916,5.03,5.1212,5.2124,5.3036,5.3948,5.486,5.9592,6.4324,6.9056,7.3788,7.852,7.945,8.038,7.954333333,7.870666667,7.787,8.236,8.685,8.7952,8.9054,9.0156,9.1258,9.236,9.371833333,9.507666667,9.6435,9.6316,9.6197,9.698275,9.77735,9.855425,9.935,9.935,9.925,9.916,9.908,10.136,10.134,10.122,10.115,10.122,10.087,10.047,,,
HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5735,0.612114286,0.606871429,0.615442857,0.634357143,0.650971429,0.6631,0.6898,0.683004,0.664407,0.652752,0.628908,0.579912,0.620842,0.636611,0.675973,0.668706,0.672,0.658,0.665,0.679,,,
