Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815,1366,1473,1731,1912,2116,2864,2187,2299,4397,4477,4135,4814,4466,5441,5186,3646,3602,4768,5373,5661,6408,6143,7333,6672,6043,5736,6163,6525,6557,6682,7056,6964,6974,,
AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9633,9428,6757,4018,3433,3379,3864,4728,4067,4039,3982,3871,3750,3985,4321,4535,4851,5199,4854,4797,4967,5197,5456,5596,5712,5737,5654,5977,5756,6173,6261,6700,7137,7072,,
AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46923,49222,48828,48518,49249,50427,52586,52751,53497,55724,56691,58976,60030,62494,63807,66023,67697,67626,68264,66285,70214,70541,71882,72089,71300,71894,72128,74410,74228,74058,71562,75063,74635,71777,72477,
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18438,19130,16801,15886,14904,15000,14384,14216,15326,16144,16423,17086,16316,18407,18955,20042,21655,18177,17884,14497,14517,15643,19081,19705,21000,21661,21620,20895,21695,22493,22781,24219,23994,24034,,
BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63595,66584,68815,69391,72592,74807,76455,78412,80736,81240,84549,85041,85885,87283,88235,88124,90779,90909,90975,85410,91010,89210,88873,89175,86315,86809,87861,88745,88539,88158,85623,88994,85101,81648,84181,
BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41487,37647,31902,32260,32300,35399,36382,33242,32469,29668,30014,30907,30202,31085,30650,31901,33192,34130,35023,33378,33727,35739,34755,33739,34021,34867,35330,36657,35929,35699,34751,36187,35794,34557,,
BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13111,9202,4705,2886,3519,3673,4240,5173,6626,6867,7615,7767,7865,8403,8739,8997,8979,8964,11211,10803,11693,12241,12542,12308,12002,12100,12651,13249,13204,12495,11592,12446,12092,11710,,
BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44636,44818,39974,35327,31380,28441,28513,29876,30370,30133,29902,29878,29603,30007,30883,31362,32330,32449,33174,31359,33820,34373,34993,34535,34865,33788,33710,34227,35160,35414,35311,38091,36014,38528,,
CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49996,51254,51076,50199,50041,51275,52284,52043,53193,54630,56360,57793,58455,60089,60636,61769,62569,61642,63519,62115,63965,62731,63064,63148,61578,62121,62647,64105,63315,63087,62220,64402,65150,63777,64095,
CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863,1942,2271,2459,2559,2381,2459,2554,2815,2942,3182,3317,3618,3893,3988,4212,4430,4655,4925,5025,5101,4768,4580,4104,4176,4318,4623,4776,4902,4958,4610,4895,5124,5166,,
