"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Albania","AL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.16","16.17","20.42","21.41","22.9","27.19","34.7","35.71","31.69","25.38","22.06","16.77","15.04","21.38","21.73","21.38","22.15","12.16","15.86","21.12","30.87","16.47","20.89","26.23","17.87","23.65","30.16","16.98","31.74","19.8","21.75","34.43","28.45","36.81","",""
"Andorra","AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.73","1.64","6.34","16.83","21.92","14.85","41.58","28.9","28.8","35.15","31.31","29.96","39.28","34.88","35.57","34.23","33.02","28.91","26.49","31.56","35","32.33","27","27.65","29.35","31.47","29.42","29.81","25.41","25.02","24.57","19.93","24.25","24.04","",""
"Austria","AT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.96","10.29","11.88","12.38","12.09","12.04","10.49","11.17","11.34","12.5","12.9","11.85","11.71","9.33","10.33","10.19","9.87","10.51","10.79","12.07","10.83","10.08","12.84","12.47","12.91","11.92","12.66","12.4","12.47","13.49","14.51","13.11","13.15","16.37","18.79",""
"Azerbaijan","AZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.63","0.67","0.83","1.28","1.06","0.96","1.13","1.3","1.43","1.18","1.17","0.98","1.5","1.75","1.85","1.93","1.64","1.62","1.38","1.6","2.51","1.8","1.12","0.91","0.77","0.97","1.2","1.07","1.11","0.93","0.67","0.74","0.86","0.93","",""
"Belgium","BE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3","22.36","22.42","22.17","20.24","20.27","20.16","21.98","21.04","22.32","21.69","21.02","22.2","21.27","21.14","21.41","21.28","22.45","20.61","22.34","21.15","23.09","20.48","20.98","17.98","14.46","21.83","21.51","15.95","22.96","20.88","26.29","25.75","22.31","20.9",""
"Bulgaria","BG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.12","16.21","15.52","17.3","19.33","20.33","21.63","23.36","23.23","23.82","26.73","27.09","28.95","24.67","24.78","26.51","26.78","20.47","22.25","24.44","24.93","23.75","24.88","25.66","26.77","25.59","25.93","24.2","26.5","26.54","28.11","26.53","26.1","29.77","",""
"Bosnia and Herzegovina","BA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.75","6.99","6.59","5.49","20.72","20.96","25.4","14.86","11.7","14.35","10.08","10.61","10.28","8.8","10.69","10.23","9.5","6.49","7.02","8.63","10.65","5.28","5.42","9.64","8.51","7.73","7.21","4.86","7.53","7.61","5.92","8.35","6.16","9.15","",""
"Belarus","BY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.05","0.04","0.05","0.08","0.2","0.19","0.24","0.61","5.75","7.01","11.98","",""
"Switzerland","CH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.99","35.55","36.21","38.07","39.97","39.69","37.02","38.48","38.29","40.46","40.55","40.01","39.44","39.42","38.42","34.16","36.98","40.47","38.99","38.63","38.61","39.08","39.6","38.54","42.76","39.15","36.85","35.75","41.54","42.65","42.38","37.63","40.9","45.14","48.05",""
"Cyprus","CY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1.82","1.69","1.78","1.71","1.75","1.65","1.62","1.64","1.54","1.8","1.85","1.86","2.18","2.15","2.27","2.59","3.07","3.65","4.6","4.5","4.78","4.63","4.59","4.8","4.97","5.64","6.25","6.6","7.44","",""
"Czechia","CZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.78","7.2","7.52","7.99","8.51","8.05","8.17","7.84","8.47","9.25","8.95","9.5","11.9","15.34","15.43","14.76","15.21","15.23","15.77","17.28","16.95","17.91","19.31","19.66","19.85","17.69","16.18","18.06","18.97","19.55","20.63","19.94","20.65","22.25","22.54",""
"Germany","DE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.77","11.53","12.71","12.42","12.36","12.47","12.6","13.4","12.86","13.9","13.96","13.74","13.72","13.76","14.04","13.86","13.91","12.86","13.38","13.19","13.14","11.6","11.17","10.97","11.69","11.88","11.25","11.26","11.73","12.46","12.62","12.13","10.24","9.15","9.09",""
"Denmark","DK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","0.36","0.46","0.51","0.54","0.57","0.52","0.86","1.27","1.42","2.02","1.99","2.28","2.44","2.98","3.1","2.69","3.22","3.2","3.23","3.58","4.82","5.36","5.98","7.45","8.09","7.35","8.36","8.1","9.64","10.32","9.7","12.54","13.8","14.47",""
"Spain","ES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.15","18.03","17.01","18.34","17.52","16.36","18.29","16.57","16.63","15.11","15.72","16.65","14.88","15.59","14.91","13.05","14.11","13.4","14.83","15.69","19.33","18.08","19.51","21.87","22.64","20.87","21.64","19.35","19.84","21","24.11","22.79","22.92","25.18","25.48",""
"Estonia","EE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.01","0.01","0.01","0.01","0.01","0.03","0.05","0.12","0.14","0.15","0.25","0.44","0.44","0.6","0.78","0.82","0.98","1.31","0.91","1.12","1.04","1.38","2.15","2.09","2.3","2.9","5.09",""
"Finland","FI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.93","21.6","23.29","22.32","19.99","21.16","19.6","20.14","21.46","21.84","22","21.29","19.28","18.33","19.39","21.12","18.63","19.91","21.15","21.7","19.37","20.36","22.06","21.93","21.67","23.73","22.81","22.57","22.33","23.51","25.73","24.88","27.97","35.42","36.43",""
"France","FR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.68","38.63","40.53","42.99","44.27","44.2","43.68","44.78","42.68","43.75","45.29","44.64","45.65","44.9","44.97","44.87","45.67","45.25","45.28","44.14","44.95","46.82","45.78","45.9","48.89","48.18","45.73","45.06","47.6","46.78","47.17","46.41","40.9","46.65","51.37",""
"Faroe Islands","FO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","GB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.54","8.82","9.66","11.05","10.87","10.93","11.08","11.85","11.94","11.41","10.18","10.69","10.62","10.47","9.67","9.86","9.34","8.22","7.09","9.86","8.58","10.57","10.71","11.29","11.32","12.74","13.15","13.75","13.44","12.97","13.78","12.03","13.76","13.35","13.78",""
"Georgia","GE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.25","6.35","6.46","7.46","12.43","12.01","13.77","15.81","18.02","19.91","17.77","18.92","23.26","21.1","19.06","19.22","15.53","18.02","20.96","22.01","27.26","19.44","17.05","17.47","16.52","15.89","16.98","16.76","18.22","15.61","14.89","17.07","16.65","16.92","",""
"Gibraltar","GI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"Greece","GR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.99","1.54","1.19","1.27","1.38","1.73","1.99","1.88","1.77","2.1","1.89","1.45","1.62","2.28","2.3","2.36","2.77","1.92","2.33","3.19","4.15","3.51","4.18","6.3","5.58","6.57","6.74","6.23","7.35","7.46","8.99","10.66","10.81","12.22","12.48",""
"Croatia","HR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.55","5.88","5.07","5.19","6.37","6.46","8.25","6","6.09","7.23","6.61","7.08","5.63","4.91","6.86","6.24","5.92","4.11","5.18","6.86","8.63","5.06","5.33","9.51","10.68","7.66","8.32","6.73","9.51","8.11","8.71","10.14","8.71","11.47","",""
"Hungary","HU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.78","13.42","14.88","14.38","15.11","14.52","14.38","14.46","14.6","14.87","15.24","14.84","14.66","11.43","12.37","13.29","13.05","14.51","14.92","16.36","16.16","16.52","17.52","17.77","18.17","17.44","17.62","17.04","16.82","17.72","18","17.61","18.93","21.11","22.16",""
"Isle of Man","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","IE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.61","0.64","0.72","0.67","0.77","0.59","0.56","0.52","0.74","0.67","0.68","0.56","0.78","0.65","0.77","1.04","1.39","1.53","2","2.37","2.12","3.43","3.26","3.54","4.1","4.93","4.36","5.25","6.01","7.08","8.35","6.84","7.87","8.94","8.53",""
